STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지표
A_2024_00678,QY,201002,,,510006,기타지역,100001,공실률,9.5,%,,서울>기타지역,공실률,2010년 2분기,공실률
A_2024_00680,QY,201002,,,510006,기타지역,100001,임대료,14.5,천원/㎡,,서울>기타지역,임대료,2010년 2분기,임대료
A_2024_00682,QY,201002,,,510006,기타지역,100001,투자수익률,2.21,%,,서울>기타지역,투자수익률,2010년 2분기,투자수익률
A_2024_00678,QY,201003,,,500002,서울,100001,공실률,7.5,%,,서울,공실률,2010년 3분기,공실률
A_2024_00680,QY,201003,,,500002,서울,100001,임대료,19.8,천원/㎡,,서울,임대료,2010년 3분기,임대료
A_2024_00682,QY,201003,,,500002,서울,100001,투자수익률,1.35,%,,서울,투자수익률,2010년 3분기,투자수익률
A_2024_00678,QY,201003,,,510003,도심지역,100001,공실률,9.6,%,,서울>도심지역,공실률,2010년 3분기,공실률
A_2024_00680,QY,201003,,,510003,도심지역,100001,임대료,23.4,천원/㎡,,서울>도심지역,임대료,2010년 3분기,임대료
A_2024_00682,QY,201003,,,510003,도심지역,100001,투자수익률,1.74,%,,서울>도심지역,투자수익률,2010년 3분기,투자수익률
A_2024_00678,QY,201003,,,510004,여의도마포지역,100001,공실률,5.4,%,,서울>여의도마포지역,공실률,2010년 3분기,공실률
A_2024_00680,QY,201003,,,510004,여의도마포지역,100001,임대료,16.0,천원/㎡,,서울>여의도마포지역,임대료,2010년 3분기,임대료
A_2024_00682,QY,201003,,,510004,여의도마포지역,100001,투자수익률,1.89,%,,서울>여의도마포지역,투자수익률,2010년 3분기,투자수익률
A_2024_00678,QY,201003,,,510005,강남지역,100001,공실률,6.5,%,,서울>강남지역,공실률,2010년 3분기,공실률
A_2024_00680,QY,201003,,,510005,강남지역,100001,임대료,20.5,천원/㎡,,서울>강남지역,임대료,2010년 3분기,임대료
A_2024_00682,QY,201003,,,510005,강남지역,100001,투자수익률,1.08,%,,서울>강남지역,투자수익률,2010년 3분기,투자수익률
A_2024_00678,QY,201003,,,510006,기타지역,100001,공실률,8.1,%,,서울>기타지역,공실률,2010년 3분기,공실률
A_2024_00680,QY,201003,,,510006,기타지역,100001,임대료,14.2,천원/㎡,,서울>기타지역,임대료,2010년 3분기,임대료
A_2024_00682,QY,201003,,,510006,기타지역,100001,투자수익률,0.81,%,,서울>기타지역,투자수익률,2010년 3분기,투자수익률
A_2024_00678,QY,201004,,,500002,서울,100001,공실률,6.4,%,,서울,공실률,2010년 4분기,공실률
A_2024_00680,QY,201004,,,500002,서울,100001,임대료,20.0,천원/㎡,,서울,임대료,2010년 4분기,임대료
A_2024_00682,QY,201004,,,500002,서울,100001,투자수익률,1.61,%,,서울,투자수익률,2010년 4분기,투자수익률
A_2024_00678,QY,201004,,,510003,도심지역,100001,공실률,7.9,%,,서울>도심지역,공실률,2010년 4분기,공실률
A_2024_00680,QY,201004,,,510003,도심지역,100001,임대료,24.0,천원/㎡,,서울>도심지역,임대료,2010년 4분기,임대료
