STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지역,지표
A_2024_00678,QY,200902,,,510004,여의도마포지역,100001,공실률,4.1,%,,서울>여의도마포지역,공실률,2009년 2분기,YBD,공실률
A_2024_00680,QY,200902,,,510005,강남지역,100001,임대료,20.8,천원/㎡,,서울>강남지역,임대료,2009년 2분기,GBD,임대료
A_2024_00678,QY,200902,,,510005,강남지역,100001,공실률,6.2,%,,서울>강남지역,공실률,2009년 2분기,GBD,공실률
A_2024_00680,QY,200902,,,510006,기타지역,100001,임대료,13.8,천원/㎡,,서울>기타지역,임대료,2009년 2분기,Others,임대료
A_2024_00678,QY,200902,,,510006,기타지역,100001,공실률,11.9,%,,서울>기타지역,공실률,2009년 2분기,Others,공실률
A_2024_00680,QY,200902,,,520004,신문로지역,100001,임대료,24.5,천원/㎡,,서울>도심지역>신문로지역,임대료,2009년 2분기,CBD_신문로,임대료
A_2024_00678,QY,200902,,,520004,신문로지역,100001,공실률,3.4,%,,서울>도심지역>신문로지역,공실률,2009년 2분기,CBD_신문로,공실률
A_2024_00680,QY,200902,,,520005,우정국로지역,100001,임대료,25.7,천원/㎡,,서울>도심지역>우정국로지역,임대료,2009년 2분기,CBD_우정국로,임대료
A_2024_00678,QY,200902,,,520005,우정국로지역,100001,공실률,9.9,%,,서울>도심지역>우정국로지역,공실률,2009년 2분기,CBD_우정국로,공실률
A_2024_00680,QY,200902,,,520006,무교지역,100001,임대료,23.3,천원/㎡,,서울>도심지역>무교지역,임대료,2009년 2분기,CBD_무교,임대료
A_2024_00678,QY,200902,,,520006,무교지역,100001,공실률,7,%,,서울>도심지역>무교지역,공실률,2009년 2분기,CBD_무교,공실률
A_2024_00680,QY,200902,,,520007,청계지역,100001,임대료,22.3,천원/㎡,,서울>도심지역>청계지역,임대료,2009년 2분기,CBD_청계,임대료
A_2024_00678,QY,200902,,,520007,청계지역,100001,공실률,6.2,%,,서울>도심지역>청계지역,공실률,2009년 2분기,CBD_청계,공실률
A_2024_00680,QY,200902,,,520008,서울역지역,100001,임대료,18.5,천원/㎡,,서울>도심지역>서울역지역,임대료,2009년 2분기,CBD_서울역,임대료
